,% budget recovered,% of gross from domestic,% of gross from international,budget (m),decade,domestic gross (m),international gross (m),title,worldwide gross,worldwide gross (m),x times budget recovered,year
131,967%,32.9%,67.1%,150.0,2010's,477,973,Frozen II,"1,450,026,933",1450.0,9.7,2019
132,798%,23.3%,76.7%,190.0,2010's,353,1162,Furious 7,"1,515,341,399",1515.0,8.0,2015
133,289%,32.6%,67.4%,130.0,2010's,123,253,G.I. Joe: Retaliation,"375,740,705",376.0,2.9,2013
134,5652%,69.0%,31.0%,4.5,2010's,175,788,Get Out,"254,329,516",254.0,56.5,2017
135,2199%,43.0%,57.0%,23.0,1990's,218,288,Ghost,"505,703,557",506.0,22.0,1990
136,452%,40.3%,59.7%,103.0,2000's,188,278,Gladiator,"465,380,802",465.0,4.5,2000
137,1235%,45.0%,55.0%,20.0,2010's,111,1359,Glass,"246,908,596",246.9,12.3,2019
138,3132%,97.0%,3.0%,2.0,2010's,60,19,God's Not Dead,"62,630,732",63.0,31.3,2014
139,328%,38.2%,61.8%,160.0,2010's,201,324,Godzilla,"524,976,069",525.0,3.3,2014
140,253%,36.0%,64.0%,150.0,1990's,136,243,Godzilla,"379,014,294",379.0,2.5,1998
141,235%,21.5%,78.5%,200.0,2020's,101,369,Godzilla vs. Kong,"470,067,014",470.0,2.4,2021
142,227%,28.6%,71.4%,170.0,2010's,111,276,Godzilla: King of the Monsters,"386,600,138",387.0,2.3,2019
143,587%,30.2%,69.8%,60.0,1990's,106,246,GoldenEye,"352,194,034",352.0,5.9,1995
144,605%,45.4%,54.6%,61.0,2010's,168,202,Gone Girl,"369,330,363",369.0,6.1,2014
145,1140%,98.5%,1.5%,0.6,2010's,6,1,Grandma,"6,841,296",7.0,11.4,2015
146,723%,37.9%,62.1%,100.0,2010's,274,449,Gravity,"723,192,705",723.0,7.2,2013
147,6605%,48.0%,52.0%,6.0,1970's,190,206,Grease,"396,271,103",396.0,66.0,1978
148,1399%,26.4%,73.6%,23.0,2010's,85,237,Green Book,"321,752,656",322.0,14.0,2018
149,455%,43.2%,56.8%,170.0,2010's,334,440,Guardians of the Galaxy,"773,350,147",773.0,4.5,2014
150,432%,45.1%,54.9%,200.0,2010's,390,474,Guardians of the Galaxy Vol. 2,"863,756,051",864.0,4.3,2017
151,2537%,62.8%,37.2%,10.0,2010's,159,943,Halloween ,"253,679,925",254.0,25.4,2018
152,420%,36.2%,63.8%,150.0,2000's,228,401,Hancock,"629,443,428",629.0,4.2,2008
153,404%,46.9%,53.1%,87.0,2000's,165,187,Hannibal,"351,692,268",352.0,4.0,2001
154,2341%,49.5%,50.5%,4.8,2010's,55,567,Happy Death Day,"112,381,005",112.0,23.4,2017
155,384%,51.5%,48.5%,100.0,2000's,198,186,Happy Feet,"384,336,108",384.0,3.8,2006
