title,unadjusted gross ($m),inflation adjusted gross ($m),% budget recovered,x times budget recovered,budget  (m),domestic gross (m),domestic %,international gross (m),% of gross from international,worldwide gross,year,decade,source,budget source,force label
Men in Black II,445,748,318%,3.2,140,194,43.50%,251,56.50%,"445,135,288",2002,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=477,"https://en.wikipedia.org/wiki/Men_in_Black_II#:~:text=Men%20in%20Black%20II%20was,in%20Black%3A%20International%20in%202019.",
MI: Fallout,792,951,445%,4.4,178,220,27.80%,571,72.20%,"791,657,398",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=298,https://en.wikipedia.org/wiki/Mission:_Impossible_%E2%80%93_Fallout,
MI: Ghost Protocol,695,939,479%,4.8,145,209,30.10%,485,69.90%,"694,713,380",2011,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=336,https://en.wikipedia.org/wiki/Mission:_Impossible_%E2%80%93_Ghost_Protocol,
MI: Rogue Nation,683,870,455%,4.6,150,195,28.60%,488,71.40%,"682,716,636",2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=339,https://en.wikipedia.org/wiki/Mission:_Impossible_%E2%80%93_Rogue_Nation,
Minions,1159,"1,477",1567%,15.7,74,336,29.00%,823,71.00%,"1,159,444,662",2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=222,https://en.wikipedia.org/wiki/Minions_(film),
Minions: The Rise of Gru,939,995,1174%,11.7,80,370,39.30%,570,60.70%,"939,220,210",2022,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=262,https://en.wikipedia.org/wiki/Minions:_The_Rise_of_Gru,
Minority Report,358,602,351%,3.5,102,132,36.80%,226,63.20%,"358,372,926",2002,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=601,"https://en.wikipedia.org/wiki/Minority_Report_(film)#:~:text=Upon%20its%20release%2C%20the%20film,Initial%20reviews%20were%20generally%20positive.",
Mission: Impossible,458,883,572%,5.7,80,181,39.50%,277,60.50%,"457,696,391",1996,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=467,https://en.wikipedia.org/wiki/Mission:_Impossible_(film_series),
Mission: Impossible III,546,964,437%,4.4,125,215,39.40%,331,60.60%,"546,388,108",2000,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=398,https://en.wikipedia.org/wiki/Mission:_Impossible_2,
Mission: Impossible III,398,598,266%,2.7,150,134,33.60%,264,66.40%,"398,479,497",2006,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=534,https://en.wikipedia.org/wiki/Mission:_Impossible_III,
Moana,660,830,377%,3.8,175,249,37.70%,412,62.30%,"660,349,731",2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=347,https://en.wikipedia.org/wiki/Moana_(2016_film),
Mockingjay - Part 1,755,961,604%,6,125,337,44.60%,418,55.40%,"755,356,711",2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=315,"https://en.wikipedia.org/wiki/The_Hunger_Games:_Mockingjay_%E2%80%93_Part_1#:~:text=The%20Hunger%20Games%3A%20Mockingjay%20%E2%80%93%20Part%201%20grossed%20%24337.1%20million%20in,including%20promotion%20and%20advertising%20costs).",
Mockingjay - Part 2,653,832,408%,4.1,160,282,43.10%,372,56.90%,"653,428,261",2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=354,https://en.wikipedia.org/wiki/The_Hunger_Games:_Mockingjay_%E2%80%93_Part_2,
Monsters University,744,961,372%,3.7,200,268,36.10%,475,63.90%,"743,559,645",2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=321,https://en.wikipedia.org/wiki/Monsters_University,
Monsters vs. Aliens,382,538,224%,2.2,170,198,52.00%,183,48.00%,"381,509,870",2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=556,https://www.reuters.com/article/idINIndia-38768520090330,
"Monsters, Inc.",580,986,504%,5,115,291,50.10%,289,49.90%,"579,707,738",2001,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=384,"https://en.wikipedia.org/wiki/Monsters,_Inc.",
Mr. & Mrs. Smith,487,761,443%,4.4,110,186,38.20%,301,61.80%,"487,287,646",2005,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=437,https://en.wikipedia.org/wiki/Mr._%26_Mrs._Smith_(2005_film),
Mrs. Doubtfire,441,921,1765%,17.7,25,219,49.70%,222,50.30%,"441,286,195",1993,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=483,"https://en.wikipedia.org/wiki/Mrs._Doubtfire#:~:text=Robin%20Williams%20was%20awarded%20the,highest%2Dgrossing%20film%20of%201993.",
Murder on the Orient Express,353,433,641%,6.4,55,103,29.20%,250,70.80%,"352,794,081",2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=613,"https://en.wikipedia.org/wiki/Murder_on_the_Orient_Express_(2017_film)#:~:text=Reception-,Box%20office,production%20budget%20of%20%2455%20million.",
My Big Fat Greek Wedding,369,620,7375%,73.7,5,241,65.50%,127,34.50%,"368,744,044",2002,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=581,"https://en.wikipedia.org/wiki/My_Big_Fat_Greek_Wedding#:~:text=Despite%20never%20hitting%20the%20number,films%20of%20the%2021st%20century.",
National Treasure,348,559,348%,3.5,100,173,49.80%,175,50.20%,"347,512,318",2004,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=629,https://en.wikipedia.org/wiki/National_Treasure_(film),
National Treasure: Book of Secrets,459,675,353%,3.5,130,220,47.90%,239,52.10%,"459,242,249",2007,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=466,"https://en.wikipedia.org/wiki/National_Treasure:_Book_of_Secrets#:~:text=The%20film%20grossed%20%24220%20million,grossing%20film%20in%20the%20series.",
Night at the Museum,574,862,522%,5.2,110,251,43.70%,324,56.30%,"574,481,229",2006,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=386,https://www.imdb.com/title/tt0477347/,
Night at the Museum: Battle of the Smithsonian,413,582,275%,2.8,150,177,42.90%,236,57.10%,"413,106,170",2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=511,"https://en.wikipedia.org/wiki/Night_at_the_Museum:_Battle_of_the_Smithsonian#:~:text=The%20film%20was%20released%20theatrically,on%20a%20%24150%20million%20budget.",
Night at the Museum: Secret of the Tomb,363,462,286%,2.9,127,114,31.30%,249,68.70%,"363,204,635",2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=590,"https://en.wikipedia.org/wiki/Night_at_the_Museum:_Secret_of_the_Tomb#:~:text=Night%20at%20the%20Museum%3A%20Secret%20of%20the%20Tomb%20grossed%20%24113.7,a%20budget%20of%20%24127%20million.",
No Time to Die,774,881,310%,3.1,250,161,20.80%,613,79.20%,"774,153,007",2021,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=306,https://variety.com/2021/film/news/no-time-to-die-highest-grossing-movie-losing-money-blockbusters-1235111919/,
Noah,359,457,287%,2.9,125,101,28.20%,258,71.80%,"359,200,044",2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=597,"https://www.csmonitor.com/USA/Society/2014/0331/Noah-not-all-believers-hate-big-budget-biblical-blockbuster#:~:text=%E2%80%9CNoah%2C%E2%80%9D%20with%20its%20%24125,of%20the%20ancient%20biblical%20tale.",
Notting Hill,364,659,866%,8.7,42,116,31.90%,248,68.10%,"363,889,678",1999,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=588,https://en.wikipedia.org/wiki/Notting_Hill_(film),
Now You See Me,352,455,469%,4.7,75,118,33.50%,234,66.50%,"351,723,989",2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=618,https://en.wikipedia.org/wiki/Now_You_See_Me_(film),
Now You See Me 2,335,421,279%,2.8,120,65,19.40%,270,80.60%,"334,897,606",2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=649,https://en.wikipedia.org/wiki/Now_You_See_Me_2,
Ocean's Eleven,451,766,530%,5.3,85,183,40.70%,267,59.30%,"450,717,150",2001,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=472,https://en.wikipedia.org/wiki/Ocean%27s_Eleven,
Ocean's Thirteen,311,458,366%,3.7,85,117,37.60%,194,62.40%,"311,312,624",2007,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=696,https://www.imdb.com/title/tt0496806/,
Ocean's Twelve,363,583,330%,3.3,110,126,34.60%,237,65.40%,"362,744,280",2004,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=591,https://en.wikipedia.org/wiki/Ocean%27s_Twelve,
Once Upon a Time in Hollywood,378,447,393%,3.9,96,143,37.70%,235,62.30%,"377,617,598",2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=562,https://en.wikipedia.org/wiki/Once_Upon_a_Time_in_Hollywood,
Over the Hedge,340,510,425%,4.2,80,155,45.60%,185,54.40%,"339,795,890",2006,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=641,"https://en.wikipedia.org/wiki/Over_the_Hedge_(film)#:~:text=Over%20the%20Hedge%20was%20released,on%20an%20%2480%20million%20budget.",
Oz the Great and Powerful,493,638,247%,2.5,200,235,47.60%,258,52.40%,"493,311,825",2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=432,https://en.wikipedia.org/wiki/Oz_the_Great_and_Powerful,
Pacific Rim,411,531,206%,2.1,200,102,24.80%,309,75.20%,"411,002,906",2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=514,https://en.wikipedia.org/wiki/Pacific_Rim_(film),
Pearl Harbor,449,764,321%,3.2,140,199,44.20%,251,55.80%,"449,220,945",2001,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=475,https://en.wikipedia.org/wiki/Pearl_Harbor_(film),
Penguins of Madagascar,374,475,283%,2.8,132,84,22.40%,290,77.60%,"373,515,621",2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=569,https://en.wikipedia.org/wiki/Penguins_of_Madagascar,
Peter Rabbit,351,422,703%,7,50,115,32.80%,236,67.20%,"351,496,066",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=621,"https://en.wikipedia.org/wiki/Peter_Rabbit_(film)#:~:text=Peter%20Rabbit%20was%20released%20in,on%20a%20%2450%20million%20budget.",
Planet of the Apes,362,616,362%,3.6,100,180,49.70%,182,50.30%,"362,211,740",2001,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=592,https://en.wikipedia.org/wiki/Planet_of_the_Apes_(2001_film),
POC: At World's End,961,"1,413",320%,3.2,300,309,32.20%,652,67.80%,"960,996,492",2007,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=256,https://www.google.com/search?q=pirate+caribbean+worlds+end+budget&ei=DJ-MY7izG86P8gKKzpJQ&ved=0ahUKEwi46Y6vh-D7AhXOh1wKHQqnBAoQ4dUDCA8&uact=5&oq=pirate+caribbean+worlds+end+budget&gs_lcp=Cgxnd3Mtd2l6LXNlcnAQAzIHCCEQoAEQCjIICCEQFhAeEB06CggAEEcQ1gQQsAM6BggAEBYQHjoICAAQFhAeEAo6BQgAEIYDSgQIQRgASgQIRhgAUPcBWJwHYKUJaAFwAXgAgAFziAHcBJIBAzYuMZgBAKABAcgBCMABAQ&sclient=gws-wiz-serp,
POC: Dead Man's Chest,1066,"1,601",474%,4.7,225,423,39.70%,643,60.30%,"1,066,179,747",2006,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=237,https://en.wikipedia.org/wiki/Pirates_of_the_Caribbean:_Dead_Man%27s_Chest,
POC: Dead Men Tell No Tales,795,974,346%,3.5,230,173,21.70%,622,78.30%,"794,881,442",2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=296,"https://en.wikipedia.org/wiki/Pirates_of_the_Caribbean:_Dead_Men_Tell_No_Tales#:~:text=Dead%20Men%20Tell%20No%20Tales%20premiered%20in%20Shanghai%20on%20May,production%20budget%20between%20%24230%20million.",
POC: On Stranger Tides,1046,"1,414",276%,2.8,379,241,23.00%,805,77.00%,"1,045,713,802",2011,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=241,https://en.wikipedia.org/wiki/Pirates_of_the_Caribbean:_On_Stranger_Tides,
POC: The Curse of the Black Pearl,654,"1,072",467%,4.7,140,305,46.70%,349,53.30%,"654,264,015",2003,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=351,https://en.wikipedia.org/wiki/Pirates_of_the_Caribbean:_The_Curse_of_the_Black_Pearl,
Pocahontas,346,686,629%,6.3,55,142,40.90%,205,59.10%,"346,079,773",1995,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=633,https://en.wikipedia.org/wiki/Pocahontas_(1995_film),
Pokémon Detective Pikachu,433,512,289%,2.9,150,144,33.30%,289,66.70%,"433,230,304",2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=489,https://en.wikipedia.org/wiki/Detective_Pikachu_(film),
Pretty Woman,463,"1,083",3310%,33.1,14,178,38.50%,285,61.50%,"463,406,268",1990,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=462,https://en.wikipedia.org/wiki/Pretty_Woman,
Prince of Persia: The Sands of Time,336,474,182%,1.8,185,91,27.00%,246,73.00%,"336,365,676",2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=644,"https://en.wikipedia.org/wiki/Prince_of_Persia:_The_Sands_of_Time_(film)#:~:text=It%20grossed%20over%20%24336.4%20million,surpassed%20by%20Warcraft%20in%202016.",
Prometheus,403,530,310%,3.1,130,126,31.40%,277,68.60%,"403,354,469",2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=526,https://en.wikipedia.org/wiki/Prometheus_(2012_film),
Puss in Boots,555,750,427%,4.3,130,149,26.90%,406,73.10%,"554,987,477",2011,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=392,"https://edition.cnn.com/2011/10/31/showbiz/movies/puss-in-boots-box-office-ew/index.html#:~:text=%E2%80%9CPuss%20in%20Boots%E2%80%9D%20cost%20%24130,million%20and%20%2417.2%20million%2C%20respectively.",
Quantum of Solace,590,832,268%,2.7,220,168,28.60%,421,71.40%,"589,580,482",2008,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=377,https://en.wikipedia.org/wiki/Quantum_of_Solace,
Raiders of the Lost Ark,390,"1,334",1950%,19.5,20,248,63.60%,142,36.40%,"389,925,971",1981,1980's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=541,https://en.wikipedia.org/wiki/Raiders_of_the_Lost_Ark,
Rain Man,355,913,1419%,14.2,25,173,48.70%,182,51.30%,"354,825,435",1988,1980's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=608,https://en.wikipedia.org/wiki/Rain_Man,
Ralph Breaks the Internet,529,636,302%,3,175,201,38.00%,328,62.00%,"529,323,962",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=411,"https://en.wikipedia.org/wiki/Ralph_Breaks_the_Internet#:~:text=Ralph%20Breaks%20the%20Internet%20grossed,production%20budget%20of%20%24175%20million.",
Rampage,428,514,357%,3.6,120,101,23.60%,327,76.40%,"428,028,233",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=494,,
Ransom,309,597,442%,4.4,70,136,44.10%,173,55.90%,"309,492,681",1996,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=699,https://en.wikipedia.org/wiki/Ransom_(1996_film),
Ratatouille,624,917,416%,4.2,150,206,33.10%,417,66.90%,"623,726,085",2007,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=364,https://en.wikipedia.org/wiki/Ratatouille_(film),
Ready Player One,583,700,333%,3.3,175,138,23.60%,445,76.40%,"582,918,849",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=383,https://en.wikipedia.org/wiki/Ready_Player_One_(film),
Resident Evil: The Final Chapter,312,392,781%,7.8,40,27,8.60%,285,91.40%,"312,242,626",2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=693,"https://en.wikipedia.org/wiki/Resident_Evil:_The_Final_Chapter#:~:text=The%20film%20received%20mixed%20reviews,against%20a%20%2440%20million%20budget.",
Return of the Jedi,475,"1,446",1105%,11,43,309,65.10%,166,34.90%,"475,106,177",1983,1980's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=447,https://en.wikipedia.org/wiki/Return_of_the_Jedi,YES
Revenge of the Sith,868,"1,356",768%,7.7,113,380,43.80%,488,56.20%,"868,390,560",2005,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=278,https://en.wikipedia.org/wiki/Star_Wars:_Episode_III_%E2%80%93_Revenge_of_the_Sith,
Rio,484,654,538%,5.4,90,144,29.70%,340,70.30%,"483,866,518",2011,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=441,https://en.wikipedia.org/wiki/Rio_(2011_film),
Rio 2,499,635,384%,3.8,130,132,26.40%,367,73.60%,"498,781,117",2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=427,https://en.wikipedia.org/wiki/Rio_2,
Rise of the Planet of the Apes,482,651,518%,5.2,93,177,36.70%,305,63.30%,"481,800,873",2011,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=443,https://en.wikipedia.org/wiki/Rise_of_the_Planet_of_the_Apes,
Robin Hood,322,442,162%,1.6,198,105,32.70%,216,67.30%,"321,669,741",2010,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=676,https://bombreport.com/yearly-breakdowns/2010-2/robin-hood-2010/,
Robin Hood: Prince of Thieves,390,864,814%,8.1,48,165,42.40%,225,57.60%,"390,493,908",1991,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=540,https://www.imdb.com/title/tt0102798/,
Rogue One,1059,"1,330",385%,3.8,275,534,50.40%,525,49.60%,"1,058,682,142",2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=239,"https://collider.com/rogue-one-star-wars-story-imax-re-release-top-ten-all-time/#:~:text=Thanks%20to%20a%20budget%20that,essentially%20derailing%20the%20entire%20franchise.",
Rush Hour 2,347,591,386%,3.9,90,226,65.10%,121,34.90%,"347,325,802",2001,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=630,https://en.wikipedia.org/wiki/Rush_Hour_2,
San Andreas,474,604,431%,4.3,110,155,32.70%,319,67.30%,"474,009,154",2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=450,https://en.wikipedia.org/wiki/San_Andreas_(film),
Saving Private Ryan,482,889,689%,6.9,70,217,45.00%,265,55.00%,"482,349,603",1998,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=442,https://en.wikipedia.org/wiki/Saving_Private_Ryan,
Schindler's List,322,673,1464%,14.6,22,97,30.10%,225,69.90%,"322,161,245",1993,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=671,https://en.wikipedia.org/wiki/Schindler%27s_List,
Se7en,327,648,1091%,10.9,30,100,30.60%,227,69.40%,"327,333,559",1995,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=665,"https://en.wikipedia.org/wiki/Seven_(1995_film)#:~:text=Seven%20was%20budgeted%20at%20%2430,expensive%20film%20at%20that%20point.",
Sex and the City,419,591,644%,6.4,65,153,36.40%,266,63.60%,"418,765,519",2008,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=504,"https://en.wikipedia.org/wiki/Sex_and_the_City_(film)#:~:text=Despite%20mixed%20reviews%20from%20critics,from%20a%20%2465%20million%20budget.",
Shang-Chi and the Legend of the Ten Rings,432,492,288%,2.9,150,225,52.00%,208,48.00%,"432,243,292",2021,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=490,https://screenrant.com/shang-chi-movie-budget-cost-mcu-comparison/,
Shark Tale,375,602,499%,5,75,161,42.90%,214,57.10%,"374,583,879",2004,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=565,"https://en.wikipedia.org/wiki/Shark_Tale#:~:text=Shark%20Tale%20premiered%20at%20the,highest%2Dgrossing%20film%20of%202004.",
Shazam!,366,433,366%,3.7,100,140,38.40%,226,61.60%,"366,080,049",2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=584,https://en.wikipedia.org/wiki/Shazam!_(film),
Sherlock Holmes,524,739,582%,5.8,90,209,39.90%,315,60.10%,"524,028,679",2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=417,https://www.imdb.com/title/tt0988045/,
Sherlock Holmes: A Game of Shadows,544,735,435%,4.4,125,187,34.40%,357,65.60%,"543,848,418",2011,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=401,https://en.wikipedia.org/wiki/Sherlock_Holmes:_A_Game_of_Shadows,
Shrek,488,830,814%,8.1,60,268,54.90%,220,45.10%,"488,351,320",2001,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=436,"https://www.nytimes.com/2021/05/18/movies/shrek-20th-anniversary.html#:~:text=1%20at%20the%20domestic%20box,Pixar's%20%E2%80%9CMonsters%2C%20Inc.%E2%80%9D",
Shrek 2,929,"1,493",619%,6.2,150,441,47.50%,488,52.50%,"928,760,770",2004,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=264,https://en.wikipedia.org/wiki/Shrek_2,
Shrek Forever After,753,"1,034",456%,4.6,165,239,31.70%,514,68.30%,"752,600,867",2010,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=316,https://en.wikipedia.org/wiki/Shrek_Forever_After,
Shrek the Third,813,"1,196",508%,5.1,160,323,39.70%,491,60.30%,"813,367,380",2007,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=292,"https://en.wikipedia.org/wiki/Shrek_the_Third#:~:text=The%20film%20received%20mixed%20reviews,highest%2Dgrossing%20film%20of%202007.",
Signs,408,686,567%,5.7,72,228,55.80%,180,44.20%,"408,247,917",2002,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=519,https://en.wikipedia.org/wiki/Signs_(2002_film),
Sing,634,797,846%,8.5,75,271,42.70%,364,57.30%,"634,338,384",2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=356,"https://en.wikipedia.org/wiki/Sing_(2016_American_film)#:~:text=Reception-,Box%20office,production%20budget%20of%20%2475%20million.",
Sing 2,407,464,479%,4.8,85,163,40.00%,245,60.00%,"407,452,213",2021,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=521,"https://en.wikipedia.org/wiki/Sing_2#:~:text=The%20film%20has%20grossed%20over,highest%2Dgrossing%20film%20of%202021.",
Skyfall,1109,"1,456",554%,5.5,200,304,27.50%,804,72.50%,"1,108,569,499",2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=230,"https://en.wikipedia.org/wiki/Skyfall#:~:text=The%20film's%20budget%20is%20estimated,and%20the%20Bond%20film%20series.",
Slumdog Millionaire,378,534,2523%,25.2,15,141,37.40%,237,62.60%,"378,410,542",2008,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=560,https://en.wikipedia.org/wiki/Slumdog_Millionaire,
Snow White and the Huntsman,397,521,233%,2.3,170,155,39.20%,241,60.80%,"396,592,829",2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=535,https://en.wikipedia.org/wiki/Snow_White_and_the_Huntsman,
Solo: A Star Wars Story,393,472,131%,1.3,300,214,54.40%,179,45.60%,"392,924,807",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=538,https://en.wikipedia.org/wiki/Solo:_A_Star_Wars_Story,
Sonic the Hedgehog,320,369,355%,3.6,90,149,46.60%,171,53.40%,"319,715,683",2020,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=681,https://en.wikipedia.org/wiki/Sonic_the_Hedgehog_(film),
Sonic the Hedgehog 2,403,426,366%,3.7,110,191,47.40%,212,52.60%,"402,656,846",2022,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=527,https://en.wikipedia.org/wiki/Sonic_the_Hedgehog_2_(film),
Spectre,881,"1,122",294%,2.9,300,200,22.70%,681,77.30%,"880,705,312",2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=273,"https://en.wikipedia.org/wiki/Spectre_(2015_film)#:~:text=Following%20the%20Sony%20Pictures%20hack,most%20expensive%20films%20ever%20made.",
Speed,350,714,947%,9.5,37,121,34.60%,229,65.40%,"350,448,145",1994,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=622,https://en.wikipedia.org/wiki/Speed_(1994_film),
Spider-Man,825,"1,387",594%,5.9,139,407,49.30%,418,50.70%,"825,025,036",2002,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=287,https://en.wikipedia.org/wiki/Spider-Man_(2002_film),
Spider-Man 2,789,"1,268",394%,3.9,200,374,47.40%,415,52.60%,"788,976,453",2004,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=301,https://en.wikipedia.org/wiki/Spider-Man_2,
Spider-Man 3,895,"1,316",358%,3.6,250,337,37.60%,558,62.40%,"894,983,373",2007,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=270,https://en.wikipedia.org/wiki/Spider-Man_3,
